age,GMST
0,0.21
0.00105,-0.22
0.00205,0.01
0.00305,0.11
0.00405,-0.07
0.00505,-0.05
0.00605,-0.14
0.00705,0.03
0.00805,-0.09
0.00905,-0.29
0.01005,-0.88
0.01105,-1.26
0.01205,-2.10
0.01305,-2.89
0.01405,-3.37
0.01505,-4.13
0.01605,-4.73
0.01705,-5.05
0.01805,-5.25
0.01905,-5.69
0.02005,-5.65
0.02105,-5.48
0.02205,-5.56
0.023,-5.79
0.024,-5.72
0.025,-5.74
0.026,-5.93
0.027,-5.98
0.028,-5.62
0.029,-5.39
0.03,-5.65
0.031,-5.64
0.032,-5.24
0.033,-5.34
0.034,-5.38
0.035,-5.23
0.036,-5.50
0.037,-5.69
0.038,-5.58
0.039,-5.78
0.04,-5.55
0.041,-5.52
0.042,-5.42
0.043,-5.11
0.044,-5.19
0.045,-5.10
0.046,-5.40
0.047,-5.44
0.048,-5.27
0.049,-4.89
0.05,-4.82
0.051,-4.59
0.052,-4.68
0.053,-4.84
0.054,-4.66
0.055,-4.63
0.056,-4.61
0.057,-4.71
0.058,-5.02
0.059,-5.10
0.06,-5.35
0.061,-5.27
0.062,-5.43
0.063,-5.67
0.064,-5.41
0.065,-5.34
0.066,-5.42
0.067,-5.14
0.068,-4.91
0.069,-4.74
0.07,-4.46
0.071,-4.18
0.072,-4.01
0.073,-3.49
0.074,-3.26
0.075,-2.89
0.076,-2.77
0.077,-2.83
0.078,-2.77
0.079,-2.40
0.08,-1.95
0.081,-1.82
0.082,-1.79
0.083,-1.80
0.084,-1.96
0.085,-2.16
0.086,-2.18
0.087,-2.42
0.088,-2.36
0.089,-2.26
0.09,-2.04
0.091,-1.96
0.092,-1.80
0.093,-1.69
0.094,-1.61
0.095,-1.48
0.096,-1.21
0.097,-1.08
0.098,-0.98
0.099,-1.03
0.1,-0.75
0.101,-0.86
0.102,-0.85
0.103,-0.77
0.104,-0.66
0.105,-0.87
0.106,-1.15
0.107,-1.53
0.108,-1.66
0.109,-1.50
0.11,-1.66
0.111,-1.58
0.112,-1.20
0.113,-1.18
0.114,-1.10
0.115,-1.10
0.116,-0.93
0.117,-0.60
0.118,-0.27
0.119,-0.10
0.12,0.22
0.121,0.54
0.122,0.70
0.123,0.85
0.124,1.01
0.125,1.01
0.126,1.01
0.127,1.01
0.128,0.70
0.129,0.38
0.13,-0.43
0.131,-1.70
0.132,-2.09
0.133,-2.62
0.134,-3.00
0.135,-3.36
0.136,-3.45
0.137,-3.69
0.138,-3.90
0.139,-4.13
0.14,-4.07
0.141,-4.07
0.142,-4.21
0.143,-4.21
0.144,-4.47
0.145,-4.26
0.146,-4.07
0.147,-4.24
0.148,-4.30
0.149,-4.25
0.15,-4.44
0.151,-4.29
0.152,-4.15
0.153,-4.38
0.154,-4.96
0.155,-5.19
0.156,-5.16
0.157,-5.53
0.158,-5.40
0.159,-5.17
0.16,-4.59
0.161,-4.19
0.162,-4.58
0.163,-4.53
0.164,-4.34
0.165,-4.34
0.166,-4.45
0.167,-4.70
0.168,-4.92
0.169,-4.17
0.17,-4.04
0.171,-3.91
0.172,-4.17
0.173,-4.05
0.174,-4.16
