Age,RLI,sd
5000,0.8524,0.1769
4998,0.8612,0.1787
4996,0.8557,0.1776
4994,0.8576,0.178
4992,0.882,0.183
4990,0.8883,0.1843
4988,0.8636,0.1792
4986,0.7531,0.1563
4984,0.6498,0.1348
4982,0.5738,0.1191
4980,0.5236,0.1087
4978,0.4541,0.0942
4976,0.5105,0.1059
4974,0.5592,0.116
4972,0.5725,0.1188
4970,0.5826,0.1209
4968,0.6059,0.1257
4966,0.6263,0.13
4964,0.6527,0.1354
4962,0.6813,0.1414
4960,0.7153,0.1484
4958,0.7481,0.1552
4956,0.7678,0.1593
4954,0.7413,0.1538
4952,0.659,0.1368
4950,0.5932,0.1231
4948,0.5298,0.1099
4946,0.5227,0.1085
4944,0.5105,0.1059
4942,0.4874,0.1011
4940,0.4764,0.0989
4938,0.4756,0.0987
4936,0.4805,0.0997
4934,0.4962,0.103
4932,0.5404,0.1121
4930,0.6218,0.129
4928,0.7216,0.1497
4926,0.8252,0.1712
4924,0.8461,0.1756
4922,0.7903,0.164
4920,0.7454,0.1547
4918,0.7516,0.156
4916,0.7837,0.1626
4914,0.8016,0.1663
4912,0.8001,0.166
4910,0.7863,0.1632
4908,0.7281,0.1511
4906,0.6402,0.1329
4904,0.5593,0.1161
4902,0.4357,0.0922
4900,0.3644,0.0807
4898,0.3074,0.0755
4896,0.2518,0.0689
4894,0.2149,0.0645
4892,0.2204,0.0641
4890,0.2071,0.0617
4888,0.2333,0.0621
4886,0.2512,0.0617
4884,0.2966,0.0616
4882,0.4247,0.0881
4880,0.57,0.1184
4878,0.6557,0.1361
4876,0.7191,0.1492
4874,0.7653,0.1588
4872,0.763,0.1583
4870,0.7491,0.1555
4868,0.7143,0.1482
4866,0.6596,0.1369
4864,0.6164,0.1279
4862,0.5715,0.1186
4860,0.5021,0.1042
4858,0.4654,0.0966
4856,0.4505,0.0935
4854,0.3807,0.0827
4852,0.2953,0.0728
4850,0.2518,0.0687
4848,0.2337,0.0653
4846,0.2251,0.0625
4844,0.2583,0.062
4842,0.2976,0.062
4840,0.3839,0.0797
4838,0.4374,0.0908
4836,0.489,0.1015
4834,0.5606,0.1163
4832,0.6467,0.1342
4830,0.7394,0.1534
4828,0.79,0.1639
4826,0.7951,0.165
4824,0.7655,0.1589
4822,0.6737,0.1398
4820,0.596,0.1237
4818,0.4976,0.1033
4816,0.4103,0.0869
4814,0.3639,0.0795
4812,0.3481,0.076
4810,0.3658,0.0773
4808,0.3909,0.0811
4806,0.4439,0.0921
4804,0.4788,0.0994
4802,0.4922,0.1021
4800,0.5016,0.1041
4798,0.5219,0.1083
4796,0.5329,0.1106
4794,0.5469,0.1135
4792,0.5698,0.1182
4790,0.573,0.1189
4788,0.5629,0.1168
4786,0.5332,0.1106
4784,0.5145,0.1068
4782,0.5062,0.105
4780,0.486,0.1008
4778,0.4412,0.0915
4776,0.3678,0.0799
4774,0.3208,0.0715
4772,0.2994,0.0714
4770,0.2993,0.0702
4768,0.3394,0.0709
4766,0.4115,0.0854
4764,0.4736,0.0983
4762,0.5327,0.1105
4760,0.5905,0.1225
4758,0.6519,0.1353
4756,0.7102,0.1474
4754,0.7208,0.1496
4752,0.6547,0.1359
4750,0.5964,0.1238
4748,0.5484,0.1138
4746,0.5515,0.1144
4744,0.5651,0.1173
4742,0.5816,0.1207
4740,0.5784,0.12
4738,0.5334,0.1107
4736,0.4815,0.0999
4734,0.4402,0.0913
4732,0.3859,0.0824
4730,0.3722,0.0801
4728,0.3689,0.0793
4726,0.3877,0.0813
4724,0.4114,0.0854
4722,0.4664,0.0968
4720,0.5171,0.1073
4718,0.524,0.1087
4716,0.5106,0.1059
4714,0.5144,0.1068
4712,0.5429,0.1127
4710,0.592,0.1229
4708,0.594,0.1233
4706,0.5743,0.1192
4704,0.515,0.1069
4702,0.4613,0.0957
4700,0.4118,0.0859
4698,0.402,0.0836
4696,0.4008,0.0832
4694,0.3956,0.0824
4692,0.3838,0.0809
4690,0.3763,0.08
4688,0.3813,0.0803
4686,0.4171,0.0865
4684,0.4743,0.0984
4682,0.576,0.1196
4680,0.6699,0.139
4678,0.6959,0.1444
4676,0.6873,0.1426
4674,0.6893,0.143
4672,0.6976,0.1448
4670,0.7218,0.1498
4668,0.7028,0.1458
4666,0.6641,0.1378
4664,0.6542,0.1358
4662,0.6682,0.1387
4660,0.6697,0.139
4658,0.6021,0.1249
4656,0.4778,0.0991
4654,0.4028,0.0854
4652,0.4059,0.0843
4650,0.4224,0.0876
4648,0.4535,0.0942
4646,0.5167,0.1073
4644,0.5566,0.1155
4642,0.5661,0.1175
4640,0.5685,0.118
4638,0.5698,0.1182
4636,0.5709,0.1185
4634,0.5604,0.1163
4632,0.5347,0.111
4630,0.5143,0.1067
4628,0.5065,0.1051
4626,0.5038,0.1045
4624,0.4986,0.1035
4622,0.4766,0.0989
4620,0.4686,0.0972
4618,0.4634,0.0962
4616,0.4602,0.0955
4614,0.4434,0.092
4612,0.4187,0.0869
4610,0.3782,0.0807
4608,0.3929,0.0822
4606,0.403,0.0836
4604,0.4305,0.0894
4602,0.4623,0.096
4600,0.4941,0.1026
4598,0.5067,0.1052
4596,0.5046,0.1047
4594,0.5046,0.1047
4592,0.5051,0.1048
4590,0.4993,0.1036
4588,0.48,0.0996
4586,0.4462,0.0926
4584,0.4293,0.0891
4582,0.4125,0.0857
4580,0.4019,0.0838
4578,0.3917,0.082
4576,0.3816,0.0803
4574,0.3879,0.0809
4572,0.4309,0.0894
4570,0.4839,0.1004
4568,0.5129,0.1065
4566,0.5411,0.1123
4564,0.5489,0.1139
4562,0.5274,0.1094
4560,0.5191,0.1077
4558,0.5344,0.1109
4556,0.6049,0.1256
4554,0.6653,0.1381
4552,0.6816,0.1414
4550,0.7223,0.1499
4548,0.7733,0.1605
4546,0.8068,0.1674
4544,0.8129,0.1687
4542,0.8006,0.1661
4540,0.7497,0.1556
4538,0.6579,0.1365
4536,0.5781,0.12
4534,0.4906,0.1018
4532,0.4813,0.0999
4530,0.4835,0.1003
4528,0.4894,0.1016
4526,0.5028,0.1043
4524,0.5608,0.1164
4522,0.6963,0.1445
4520,0.798,0.1656
4518,0.7843,0.1628
4516,0.6928,0.1438
4514,0.6694,0.1389
4512,0.6727,0.1396
4510,0.6729,0.1396
4508,0.6467,0.1342
4506,0.5805,0.1205
4504,0.4955,0.1028
4502,0.4525,0.094
4500,0.4343,0.0902
4498,0.4208,0.0877
4496,0.4165,0.0865
4494,0.4168,0.0866
4492,0.4139,0.0859
4490,0.4279,0.0888
4488,0.4636,0.0962
4486,0.5301,0.1101
4484,0.5712,0.1186
4482,0.5783,0.12
4480,0.5802,0.1204
4478,0.6276,0.1302
4476,0.6818,0.1415
4474,0.7324,0.152
4472,0.7458,0.1548
4470,0.746,0.1548
4468,0.7449,0.1546
4466,0.7492,0.1555
4464,0.7495,0.1555
4462,0.7489,0.1554
4460,0.7448,0.1546
4458,0.7224,0.1499
4456,0.6792,0.1409
4454,0.6375,0.1323
4452,0.6033,0.1252
4450,0.5771,0.1197
4448,0.5598,0.1162
4446,0.6082,0.1262
4444,0.6562,0.1362
4442,0.6773,0.1406
4440,0.6875,0.1427
4438,0.6904,0.1433
4436,0.6897,0.1431
4434,0.6894,0.1431
4432,0.6915,0.1435
4430,0.6897,0.1431
4428,0.6849,0.1421
4426,0.6552,0.136
4424,0.6282,0.1304
4422,0.605,0.1256
4420,0.555,0.1152
4418,0.5083,0.1055
4416,0.4597,0.0954
4414,0.4321,0.0897
4412,0.4449,0.0923
4410,0.4583,0.0951
4408,0.4601,0.0955
4406,0.4538,0.0942
4404,0.4621,0.0959
4402,0.4811,0.0998
4400,0.5119,0.1062
4398,0.5401,0.1121
4396,0.5714,0.1186
4394,0.631,0.1309
4392,0.7042,0.1461
4390,0.7962,0.1652
4388,0.8414,0.1746
4386,0.8639,0.1793
4384,0.8576,0.178
4382,0.7763,0.1611
4380,0.7076,0.1468
4378,0.7033,0.146
4376,0.7186,0.1491
4374,0.7169,0.1488
4372,0.701,0.1455
4370,0.6734,0.1397
4368,0.6267,0.13
4366,0.5697,0.1182
4364,0.5064,0.1051
4362,0.4916,0.102
4360,0.503,0.1044
4358,0.5409,0.1122
4356,0.6212,0.1289
4354,0.6854,0.1422
4352,0.7454,0.1547
4350,0.7771,0.1613
4348,0.783,0.1625
4346,0.7819,0.1622
4344,0.7988,0.1658
4342,0.8495,0.1763
4340,0.8801,0.1826
4338,0.8903,0.1848
4336,0.8491,0.1762
4334,0.7797,0.1618
4332,0.708,0.1469
4330,0.6855,0.1422
4328,0.6955,0.1443
