Age,CO2,period
1000,221.1,G
1000,221.65,G
1000,227.75,G
1000,230.11,G
1000,230.37,G
1000,236.68,G
1000,240.66,G
1000,240.78,G
1000,241.44,G
1000,245.64,IG
1000,246.48,IG
1000,246.6,IG
1000,255.52,IG
1000,263.87,IG
1000,269.49,IG
1000,271.6,IG
1000,274.35,IG
1000,277.36,IG
1500,216.8,G
1500,219.1,G
1500,219.2,G
1500,223,IG
1500,224.3,IG
1500,227.4,IG
1500,233.2,iG
2000,225.9,G
2000,230.6,G
2000,230.9,G
2000,234.1,G
2000,237.7,G
2000,240.3,IG
2000,241.2,IG
2000,271.1,IG
2000,297.9,IG
