period,Age,CO2,higher,lower,author
G,14.01,233.99,42.31,37.25,chalk
G,14.01,231.32,44.04,44.04,dyez
G,14.01,250.78,29,29,Henehan
G,14.01,234.32,20.44,18.77,sosdian
G,14.57,220,29,29,Henehan
G,14.6,241.99,26.8,26.8,dyez
G,14.6,232.36,25.63,25.63,dyez
G,14.61,253.95,20.17,20.17,hoenisch
G,15.07,230.14,41.11,35.7,chalk
G,15.07,217.67,40.65,36.54,chalk
G,15.07,228.76,43.81,43.81,dyez
G,15.07,216.65,45.4,45.4,dyez
G,15.07,249.49,29,29,Henehan
G,15.07,236.58,29,29,Henehan
G,15.07,231.41,20.27,18.71,sosdian
G,15.07,220.22,19.35,18.31,sosdian
G,15.1,258,20,20,Foster
G,15.1,251,20,20,Foster
G,16.59,193.91,29,29,Henehan
G,17,185.27,19.8,18.92,sosdian
G,17.26,222.06,38.03,34.46,chalk
G,17.26,222.06,39.81,39.81,dyez
G,17.26,240.35,29,29,Henehan
G,17.26,223.23,19.11,17.48,sosdian
G,17.3,251,20,20,Foster
G,18.16,194.11,29,29,Henehan
G,19.06,209.4,29,29,Henehan
G,19.19,161.35,33.21,30.89,chalk
G,19.19,162.95,38.89,38.89,dyez
G,19.19,175.9,29,29,Henehan
G,19.19,166.36,15.32,14.08,sosdian
G,19.2,210,20,20,Foster
G,20.4,178.77,20.38,20.38,dyez
G,20.44,183.44,13.82,13.82,hoenisch
G,20.86,216.74,29,29,Henehan
G,21.1,235,20,20,Foster
G,21.12,199.34,34.15,32.16,chalk
G,21.12,199.9,35.11,35.11,dyez
G,21.12,218.78,29,29,Henehan
G,21.12,201.25,16.66,15.53,sosdian
G,22.46,219.99,29,29,Henehan
G,22.5,239,20,20,Foster
G,22.61,201.6,36.2,32.92,chalk
G,22.61,202.61,38.16,38.16,dyez
G,22.61,203.9,17.34,16.33,sosdian
G,22.72,185.2,13.82,13.82,hoenisch
G,23.86,225.22,29,29,Henehan
G,24.38,179.6,32.58,30.36,chalk
G,24.38,180.8,34.43,34.43,dyez
G,24.38,183.92,15.42,14.47,sosdian
G,24.79,195.21,29,29,Henehan
G,24.8,223,20,20,Foster
G,25.51,170.82,36.94,32.39,chalk
G,25.51,165.81,32.28,28.99,chalk
G,25.51,172,44.25,44.25,dyez
G,25.51,167.07,35.43,35.43,dyez
G,25.51,175.55,16.82,15.92,sosdian
G,25.51,170.91,14.94,13.68,sosdian
G,26.28,184.8,29,29,Henehan
G,26.28,179.7,29,29,Henehan
G,26.3,215,20,20,Foster
G,26.3,212,20,20,Foster
G,27.37,208.16,29,29,Henehan
G,61.28,198.09,44.45,37.3,chalk
G,61.28,198.65,54.27,54.27,dyez
G,61.28,201.4,21.11,18.8,sosdian
G,61.4,234,20,20,Foster
G,68.11,251.9,19.48,19.48,hoenisch
G,70.58,246.26,19.48,19.48,hoenisch
G,70.6,242.25,27.33,27.33,dyez
G,130.86,282.02,62.71,51.31,chalk
G,130.86,281.03,78.18,78.18,dyez
G,130.86,281.5,30.64,28.56,sosdian
G,131,286,20,20,Foster
G,131.32,290,22.82,22.82,hoenisch
G,131.91,246.89,37.73,36.4,chalk
G,131.91,261.03,36.98,36.98,dyez
G,131.91,248.66,22.79,21.57,sosdian
G,133.22,235.32,36.79,33.64,chalk
G,133.22,251,36.02,36.02,dyez
G,133.22,236.46,22.09,20.24,sosdian
G,134,206.84,34.6,32.72,chalk
G,134,222.15,36.54,36.54,dyez
G,134,210.93,20.37,19.11,sosdian
G,135.57,206.64,34.31,31.73,chalk
G,135.57,222.6,35.83,35.83,dyez
G,135.57,208.72,20.2,18.6,sosdian
