age,co2
0.137,280.4
0.268,274.9
0.279,277.9
0.395,279.1
0.404,281.9
0.485,277.7
0.559,281.1
0.672,282.2
0.754,280.1
0.877,278.4
0.95,276.6
1.06,279.1
1.153,277.7
1.233,278.7
1.35,277.4
1.453,279.2
1.552,280
1.638,278.9
1.733,278.7
1.812,278
1.931,276.9
2.057,276.7
2.128,276.7
2.212,277.6
2.334,277.9
2.433,273.9
2.536,278.9
2.604,275.3
2.69,284.7
2.728,274.7
2.806,276.3
2.902,274.6
3.053,276.3
3.116,273.1
3.215,274
3.336,275
3.453,273.4
3.523,273
3.622,271.5
3.721,275.4
3.79,274.9
3.897,272.7
3.91,271.7
4.004,271.6
4.096,272.8
4.124,268.1
4.161,271.5
4.324,271.1
4.374,269.1
4.48,269.8
4.573,271.5
4.703,270.7
4.766,269.3
4.874,268.6
5.004,269.8
5.094,267.6
5.16,265.3
5.274,265.2
5.37,267.6
5.476,265.9
5.562,265.5
5.657,260.7
5.716,266.7
5.855,265.5
5.998,263.2
6.039,262.7
6.131,261.2
6.263,261.1
6.354,259.4
6.434,262.1
6.545,262.9
6.617,258.1
6.713,257.6
6.735,262.2
6.838,262.3
6.941,263
7.028,260.7
7.112,258.4
7.234,260.1
7.32,260.4
7.413,259.7
7.507,259.2
7.59,260.8
7.691,259.6
7.781,259.3
7.873,254.5
7.876,258.3
7.99,261.3
8.05,260.7
8.181,261.8
8.281,259
8.387,260.9
8.477,260.4
8.579,259.3
8.653,262
8.67,259.6
8.784,263.7
8.869,263.8
8.973,265.2
9.092,260.6
9.14,260.9
9.232,263
9.317,263.8
9.536,264.4
9.597,264.2
9.721,264
9.807,263.4
9.909,265.7
9.983,264.9
10.088,267.5
10.167,261.6
10.209,266.9
10.294,266
10.417,265.1
10.527,267.6
10.621,264.8
10.744,264.8
10.805,265
10.827,265.3
10.895,264.4
10.933,264.1
10.983,263.7
11.014,264.2
11.087,264.5
11.136,264
11.201,263
11.236,265.2
11.278,258.8
11.338,260.8
11.392,255.4
11.422,244.8
11.436,253.9
11.469,253.8
11.58,250.7
11.635,249.7
11.676,251.1
11.727,250.7
11.819,245.3
11.881,238.3
11.896,245.3
11.958,246.6
12.05,243.2
12.122,240.3
12.371,237.5
12.496,237.6
12.642,234.2
12.76,238.3
12.942,237.3
13.09,237.9
13.241,237.6
13.356,236.2
13.44,236.4
13.542,239.2
13.653,238.6
13.804,238.6
13.948,239.1
14.01,225.2
14.303,228.5
14.55,228.4
14.725,226.1
14.89,225.2
15.012,224.5
15.233,222
15.438,221
15.57,220.9
15.742,219.4
15.886,214
16.073,207.5
16.26,207.7
16.452,202.9
16.659,200.8
16.87,195.2
17.111,193.9
17.375,191
17.565,188.5
17.809,188.5
17.943,189.2
18.285,187
18.541,188.6
18.828,189.4
18.868,192.3
18.906,190.5
18.921,188.3
19.347,188.7
19.509,188.8
19.748,190
19.988,188
20.023,182.2
20.168,188.2
20.197,195
20.502,187.8
20.748,186.9
21.011,186.5
