Site,period,Age,CO2,lower,higher
ZJC,G,878,295,184,184
ZJC,G,900,257,177,177
ZJC,G,923,276,191,191
ZJC,G,929,255,165,165
ZJC,G,962,269,190,190
ZJC,G,965,281,196,196
ZJC,G,967,220,144,144
ZJC,G,986,234,158,158
ZJC,G,989,229,153,153
ZJC,G,1003,273,192,192
ZJC,G,1041,261,176,176
ZJC,G,1047,271,189,189
ZJC,G,1062,246,171,171
ZJC,G,1093,289,199,199
ZJC,G,1098,202,134,134
ZJC,G,1137,245,160,160
ZJC,G,1196,270,190,190
ZJC,G,1248,307,203,203
ZJC,G,1260,297,199,199
ZJC,G,1289,316,219,219
ZJC,G,1338,289,196,196
ZJC,G,1362,226,161,161
ZJC,G,1373,287,210,210
ZJC,G,1383,271,187,187
ZJC,G,1409,277,194,194
ZJC,G,1413,293,199,199
ZJC,G,1420,253,171,171
ZJC,G,1455,285,204,204
ZJC,G,1459,292,194,194
ZJC,G,1462,298,210,210
ZJC,G,1469,290,205,205
ZJC,G,1501,285,196,196
ZJC,G,1510,302,212,212
ZJC,G,1538,296,209,209
ZJC,G,1540,287,203,203
ZJC,G,1543,267,176,176
ZJC,G,1614,264,176,176
ZJC,G,1618,277,186,186
ZJC,G,1622,275,180,180
ZJC,G,1649,256,161,161
ZJC,G,1656,258,162,162
ZJC,G,1663,287,185,185
ZJC,G,1702,267,177,177
ZJC,G,1706,291,191,191
ZJC,G,1711,306,201,201
ZJC,G,1878,285,182,182
ZJC,G,1900,296,193,193
ZJC,G,1915,236,152,152
ZJC,G,1998,289,193,193
ZJC,G,2005,263,172,172
ZJC,G,2013,230,151,151
ZJC,G,2058,328,223,223
ZJC,G,2068,262,185,185
ZJC,G,2083,302,204,204
ZJC,G,2111,276,176,176
ZJC,G,2113,279,179,179
ZJC,G,2114,252,177,177
ZJC,G,2115,306,209,209
ZJC,G,2118,300,196,196
ZJC,G,2161,332,213,213
ZJC,G,2238,319,221,221
ZJC,G,2241,319,215,215
ZJC,G,2243,253,172,172
ZJC,G,2250,336,227,227
ZJC,G,2280,314,215,215
ZJC,G,2284,337,226,226
ZJC,G,2350,300,206,206
ZJC,G,2362,332,222,222
ZJC,G,2373,404,275,275
ZJC,G,2402,416,272,272
ZJC,G,2486,390,260,260
ZJC,G,2517,345,221,221
ZJC,G,2526,288,184,184
ZJC,G,2595,215,143,143
ZJC,G,2606,264,177,177
ZJC,G,2617,300,203,203
FX,G,805,138,105,105
FX,G,871,213,151,151
FX,G,878,195,137,137
FX,G,896,198,144,144
FX,G,917,209,171,171
FX,G,923,211,162,162
FX,G,924,168,121,121
FX,G,930,177,117,117
FX,G,983,223,155,155
FX,G,986,198,140,140
FX,G,1040,167,124,124
FX,G,1043,216,176,176
FX,G,1122,185,134,134
FX,G,1129,198,144,144
FX,G,1134,193,141,141
FX,G,1203,145,107,107
FX,G,1208,179,121,121
FX,G,1215,154,112,112
FX,G,1247,270,188,188
FX,G,1250,273,183,183
FX,G,1263,177,124,124
FX,G,1287,203,142,142
FX,G,1290,227,142,142
FX,G,1303,246,181,181
FX,G,1329,170,126,126
FX,G,1331,232,161,161
FX,G,1338,212,142,142
FX,G,1343,237,179,179
