"","section","age","d18c","sz","sz.sd"
"1","Zhaojiachuan",878.36364,-8.29981307066703,277.098059895147,163.648660707287
"2","Zhaojiachuan",900,-9.14451718022667,323.063183003138,212.629666756987
"3","Zhaojiachuan",922.52727,-9.36438975732244,343.547262795623,228.220635316393
"4","Zhaojiachuan",929.09091,-8.63465651123045,294.390321744125,182.080285590349
"5","Zhaojiachuan",961.75,-9.60181456757118,359.61749823993,235.008599629501
"6","Zhaojiachuan",964.5,-9.60377013929008,357.956706885287,236.780306893721
"7","Zhaojiachuan",967.25,-8.52565397304545,287.965896861995,173.902060348731
"8","Zhaojiachuan",985.55556,-9.06029696137477,321.935904002801,205.578385066214
"9","Zhaojiachuan",989.11111,-8.72275046889877,298.884299092656,182.68167872756
"10","Zhaojiachuan",1003.33333,-9.62054846931051,362.974736312373,242.014078210468
"11","Zhaojiachuan",1041.33333,-9.08076405425504,323.249277178049,209.160678439203
"12","Zhaojiachuan",1046.5,-9.89566621768006,388.60011311492,265.307542874369
"13","Zhaojiachuan",1062,-9.52472959563272,358.62470991795,232.985843736111
"14","Zhaojiachuan",1092.5,-9.4,340.306656182875,233.041553469375
"15","Zhaojiachuan",1098.25,-8.8022221751728,305.713950086814,191.897850487463
"16","Zhaojiachuan",1136.5,-8.75257318467038,300.501585343826,186.716977005247
"17","Zhaojiachuan",1196.25,-9.64277020607597,365.64453088107,245.530355133603
"18","Zhaojiachuan",1248,-8.78488856850629,305.181240336969,190.6186279482
"19","Zhaojiachuan",1260,-9.14786128375863,327.853014195999,213.444288604027
"20","Zhaojiachuan",1289.27273,-9.48715705786447,355.012881508183,238.734415391438
"21","Zhaojiachuan",1338,-9.21108533775066,333.736127429952,215.720054040121
"22","Zhaojiachuan",1362,-9.55796603858187,362.965395828581,236.164111577017
"23","Zhaojiachuan",1372.5,-9.98415279781614,390.85648214902,266.6176800948
"24","Zhaojiachuan",1383,-9.46520699314351,345.157873564569,233.284819699722
"25","Zhaojiachuan",1408.8,-9.74028080477296,371.641751434341,253.10206206139
"26","Zhaojiachuan",1412.6,-9.36376263730938,345.825803632804,220.260064773161
"27","Zhaojiachuan",1420.2,-9.14229868745826,332.024777926841,211.464078615939
"28","Zhaojiachuan",1455.4,-9.7311416717752,369.651884011752,250.696245597955
"29","Zhaojiachuan",1458.8,-9.15431071837236,331.083435096779,209.293602873365
"30","Zhaojiachuan",1462.2,-9.8277785143616,381.326480825403,263.710296516512
"31","Zhaojiachuan",1469,-9.606,363.25038353476,237.677722609733
"32","Zhaojiachuan",1501,-9.09795274290911,325.464908908309,208.797182507384
"33","Zhaojiachuan",1510,-9.51901575829925,351.970369065554,237.452613327352
"34","Zhaojiachuan",1537.5,-9.44650279640132,345.388257884669,228.243902045685
"35","Zhaojiachuan",1540,-9.60032399826855,363.275785923417,240.680677268761
"36","Zhaojiachuan",1542.5,-8.92836205992603,311.03792118654,194.426462076172
"37","Zhaojiachuan",1614.15,-9.17863637056769,331.239190782943,216.76395244944
"38","Zhaojiachuan",1618.25,-9.21577162031087,332.078459689154,216.211276257529
"39","Zhaojiachuan",1622.35,-8.69496488494326,299.971831790299,185.331585037509
"40","Zhaojiachuan",1649.375,-8.3724696832337,278.574182794421,167.559552261233
"41","Zhaojiachuan",1656.25,-8.32383153030014,277.668679394134,166.35474039722
"42","Zhaojiachuan",1663.125,-8.66961014846083,299.378870150015,186.243598838375
"43","Zhaojiachuan",1701.875,-8.76086173730482,301.489356118337,189.012829992987
"44","Zhaojiachuan",1706.25,-8.81922973409883,302.420658550169,187.874409158822
"45","Zhaojiachuan",1710.625,-8.80871771778823,310.659937344931,193.184348761789
"46","Zhaojiachuan",1878,-8.64415384918527,295.086883078387,180.850503597202
"47","Zhaojiachuan",1900.2,-8.70976417979568,301.229490316447,184.332957404008
"48","Zhaojiachuan",1915,-8.78057523090501,304.110578255856,190.634637657793
"49","Zhaojiachuan",1997.71429,-9.18789911000226,331.388285162834,212.703317985852
"50","Zhaojiachuan",2005.42857,-8.85813025842606,310.43320412276,193.515416535809
"51","Zhaojiachuan",2013.14286,-8.89737181167595,311.953078178159,195.058766731815
"52","Zhaojiachuan",2058,-9.24936671672242,333.91373415037,219.398275600871
"53","Zhaojiachuan",2068,-9.63624354926094,362.62758902538,243.538395151525
"54","Zhaojiachuan",2083,-9.35819406549376,341.027967044845,225.07585619999
"55","Zhaojiachuan",2111.2,-8.134,268.214975213822,158.190832594969
"56","Zhaojiachuan",2113.30909,-8.475,284.687186454716,174.778296623875
"57","Zhaojiachuan",2114.36364,-9.264,335.492051974213,218.24805131132
"58","Zhaojiachuan",2115.41818,-9.175,333.043261557628,215.362413545726
"59","Zhaojiachuan",2117.52727,-8.706,299.740644896626,184.809808445611
"60","Zhaojiachuan",2160.66667,-8.7169162375136,299.482914520506,188.761181623708
"61","Zhaojiachuan",2238.33333,-9.22897050325673,333.254735102057,218.196651159686
"62","Zhaojiachuan",2240.66667,-9.18640959824268,330.013226678971,215.934008096946
