"","section","age","d13c","d13o","d18c","temp","d13a","d13a.sd","d13s","d13s.sd","R","R.sd","Sz","Sz.sd","co2","co2.sd"
"1","Zhaojiachuan",878.36364,-5.49085250626536,-25.203,-8.29981307066703,17.3,-7.96142438,0.564092191046818,-15.2410749227316,0.351069372547347,1.05572198618205,0.122888071768005,281.029222026686,169.545605990496,294.893949890201,184.258068758124
"2","Zhaojiachuan",900,-6.05592597397128,-25.03,-9.14451718022667,17.3,-6.99,0.0946924847422786,-15.8008223414367,0.351463705361544,0.788450989615564,0.0918413136438703,327.760789019886,218.0822714926,257.492828891183,177.431687510714
"3","Zhaojiachuan",922.52727,-6.14677037431534,-25.031,-9.36438975732244,17.3,-7.41671531333334,0.288501877521331,-15.8951003773554,0.353946980084267,0.808067956289344,0.097682132383203,344.650812280587,229.252769693019,276.378630175106,190.737795481002
"4","Zhaojiachuan",929.09091,-5.97561218387727,-25.434,-8.63465651123045,17.3,-7.02727267333334,0.288501877521331,-15.7180085871825,0.352256255126951,0.854914267375914,0.0963845491003183,300.902167822998,187.69331460598,255.165157982807,165.458565446657
"5","Zhaojiachuan",961.75,-5.91165258428941,-24.334,-9.60181456757118,17.3,-7.11841666666666,0.476864760702654,-15.6569388788473,0.352490100364483,0.747710175823717,0.093097220882455,361.380177520535,247.853223624316,269.068103482089,190.300857059072
"6","Zhaojiachuan",964.5,-5.72113550820359,-24.293,-9.60377013929008,17.3,-6.9745,0.476864760702654,-15.4641161439515,0.353232218967747,0.771394983413221,0.0961414379329552,364.601450087467,246.051877706786,280.635554206567,195.724694380883
"7","Zhaojiachuan",967.25,-5.88477535322397,-24.623,-8.52565397304545,17.3,-6.83058333333333,0.476864760702654,-15.6383535231188,0.354693305641576,0.761323885938552,0.092053597009578,290.911851591401,182.897314336843,220.337369120276,143.576412744498
"8","Zhaojiachuan",985.55556,-5.63648271668592,-23.986,-9.06029696137477,17.3,-6.6900001,0.284648906549806,-15.3820806455281,0.353697432689881,0.726602207036115,0.0909990724708395,324.256371489066,210.25269622647,234.346624741001,158.168597282722
"9","Zhaojiachuan",989.11111,-5.97642699758376,-24.79,-8.72275046889877,17.3,-6.769999975,0.284648906549806,-15.7233377585268,0.350214451872928,0.756813406097322,0.0905888354010171,305.283866426606,195.563361499319,229.345307964189,152.972732475747
"10","Zhaojiachuan",1003.33333,-5.67644055719074,-24.347,-9.62054846931051,17.3,-6.50222207666667,0.361789533661032,-15.4270771510826,0.353538452878722,0.743556215376261,0.0902515384449152,369.322334939108,250.316058439965,273.248272840867,191.918155404221
"11","Zhaojiachuan",1041.33333,-5.91757889174403,-25.114,-9.08076405425504,17.3,-6.73844416499998,0.462204860785056,-15.6698288848258,0.348811092011924,0.803017531588585,0.0908221922928342,325.501491898266,213.608469259864,261.252087175013,176.444312109412
"12","Zhaojiachuan",1046.5,-6.01858675398921,-24.104,-9.89566621768006,17.3,-7.17158333333333,0.462204860785056,-15.7685118565005,0.351930679801145,0.704990858641132,0.0925378679332901,385.527309148591,260.992832888108,270.597940707626,188.797431309056
"13","Zhaojiachuan",1062,-6.09453755100719,-24.826,-9.52472959563272,17.3,-6.19933333333333,0.0670198975429437,-15.8361258955635,0.349766062493828,0.695467990680836,0.0819573213864122,355.217024454995,238.714127637203,245.970451378126,171.439640629694
"14","Zhaojiachuan",1092.5,-5.58689627571209,-24.886,-9.4,17.3,-6.505,0.249582985531199,-15.3403319298369,0.351572894722386,0.824132600802416,0.0933013809128835,351.280216594305,236.553741490963,289.447349598315,199.045982453432
"15","Zhaojiachuan",1098.25,-6.24904897971555,-24.555,-8.8022221751728,17.3,-6.48583333333333,0.249582985531199,-15.9932168809071,0.354228415782983,0.659598324852187,0.0808899708549971,307.458411920996,196.080182151058,202.39173408286,133.905641944197
"16","Zhaojiachuan",1136.5,-5.86477863081825,-24.765,-8.75257318467038,17.3,-7.09824999999999,0.234716140618123,-15.6033844656613,0.352641662638397,0.809171852357777,0.0970926424603707,304.621684402611,192.641466280982,245.024455817483,160.40628697692
"17","Zhaojiachuan",1196.25,-6.31734065661351,-25.147,-9.64277020607596,17.3,-6.8765625,0.22618208004467,-16.0614064770776,0.348685702708385,0.740997696053973,0.0863506751437048,367.313643053182,248.34431139347,270.290998231285,189.843380917709
"18","Zhaojiachuan",1248,-5.57995532226403,-25.431,-8.78488856850629,17.3,-7.544,0.707737003883976,-15.3370529301179,0.351612094937139,1.00400880834375,0.112946912997313,305.771107304069,195.823754651616,306.974458586657,202.595427157371
"19","Zhaojiachuan",1260,-5.78622539941364,-25.569,-9.14786128375863,17.3,-6.88666666666667,0.411693656335225,-15.533446436864,0.356232317067151,0.89494982580828,0.098394657133316,332.695202638356,216.964378934779,297.455932386851,198.613838383761
"20","Zhaojiachuan",1289.27273,-5.57992909559073,-25.04,-9.48715705786446,17.3,-7.005727495,0.367820155329567,-15.3343020823008,0.352159975876914,0.89127817079498,0.100759772914828,356.518774756104,238.891098672196,316.275279830277,219.18625976079
"21","Zhaojiachuan",1338,-6.0312083062687,-25.827,-9.21108533775066,17.3,-6.794,0.458184824424962,-15.7804562040322,0.35028067213121,0.864399791501902,0.0927966932955601,335.475755505867,220.555315888863,288.581178148713,195.714499961145
"22","Zhaojiachuan",1362,-6.00987753117022,-24.044,-9.55796603858187,17.3,-6.27883333333333,0.13076696830622,-15.7611269052501,0.354118009859226,0.631009353660382,0.0809975141708974,360.244548074095,245.626707258792,226.359979070077,160.811916984681
